Year,Total Operating Revenue ($),System Passenger Revenue ($),System Total Transport Related Revenue ($),System Passenger Revenue per ASM ($),System Revenue Per ASM (exc-transport) ($ per ASM),System Passenger Yield ($ per RPM),Ancillary Fees ($),International ASM,Internation ASM as % of total ASM,International Revenue as % of total Revenue,International Revenue ($) per ASM,International Passenger Yield ($ per RPM),International RPM,International RPM as % of total RPM,International Passenger Revenue ($),International Load Factor,Domestic ASM,Domestic ASM as % of total ASM,Domestic Revenue as % of total Revenue,Domestic Revenue ($) per ASM,Domestic Passenger Yield ($ per RPM),Domestic RPM,Domestic RPM as % of total RPM,Domestic Passenger Revenue ($),Domestic Load Factor (%),Total Available Seat Miles (ASM),Total Revenue Passenger Mile (RPM),Total Enplaned Passengers,Total Passenger Yield ($ per RPM),Total Passenger RPM per ASM ($ per ASM),Total Load Factor (%),Total Departed Seats,Total operating fleet numbers,Total Aircraft Block Hours,Total Aircraft Airborne Hours,Gallons Fuel per Block Hour,Average Stage Length Flown,Average Seat Capacity per Aircraft,Departure per Aircraft Day,Total Operating Expenses ($),Total Labour Operating Expenses ($),Total Labour Operating Expenses per ASM($),Total Fuel Expenses ($),Total Fuel Expense per ASM,Fuel Expense per Enplaned Passenger ($),Total Fuel in Gallons,Fuel price per Gallon ($),Transport Related Expenses ($),Other Outsourcing Expenses ($),Management and Other Expenses ($),Management and Other Expenses per ASM,Flight Equipment Maintenance Expense ($),Outsourced Flight Equipment Maintenance Expense ($),CASM excluding Transport ($ per ASM),CASM excluding Transport and Fuel ($ per ASM),CASM excluding Transport Fuel and labour ($ per ASM),ASM Prodcued per Employee Equivalent,ASM Prodcued per Dollar Employee Compensation,ASM Prodcued per Dollar Pilot Compensation,Total Flight Attendant Block Hours per Month,Percentage of maintenance expense outsourced,Handling Employees per Aircraft,All Employees Avg Wage ($),Non Cockpit Employees Avg Wage ($),Full Time Employees Equivalents,Full Time Non Cockpit Employees Equivalents,All Employees average benefits and pensions ($),Non-Cockpit Employees average benefits and pensions ($),Pilot and Co-Pilot equivalents,Average Pilot and Co-Pilot wages ($),Flight Attendant Employee Equivalents,Average Flight Attendant Employee Wage ($),Ground Staff Employee Equivalents,Average Ground Staff Employee Wage ($),Maintenance Staff Equivalents,Average Maintenance Staff Wage ($),Management and Others Equivalents,Average Management and Others Wage ($)
1995,94317932279.99998,69469966679.99997,10652882620.000006,8556011816.716639,0.09146386409579119,0.12678402338936073,128463989.99999999,210130528999.99997,25.197862326684156,23.621724641229413,0.0802082940772148,0.11116849037360793,151032136000.0,26.939803530170686,16192126520.0,72.15020533935103,614609746000.0,74.80213767331583,76.37827535877058,0.08736293464821651,0.1325420066934023,402775553000.0,73.06019646982934,53224215099.99997,65.91339366869967,829581406000.0,557234428000.0,470879993.00000006,0.12678402338936073,0.08556011816716641,67.48493688704495,892353319.8256876,3235.2630136986304,11599993.0,9850509.0,1150.8246026527777,839.1677610514706,165.70316551838718,4.6570048718276595,88454529839.99995,24308257440.0,3371681421.1582665,7354178569.999999,0.010200627220422125,15.6179465666956,13349557335.000002,0.5508930659984314,1388642180.0,5540623000.0,2931743649.999999,0.40664805450175123,6003896830.0,1364820800.0,0.08848021343998734,0.07827958621956521,0.044562772007982546,1.9020865360008232,29.6587926049215,100.91175612700728,57.652110948331256,22.732249381440486,46.23457176948202,47486.38780792174,30635.77052182781,379033.0,336337.0,10242.480760250426,8529.999583750821,42696.0,122484.02988570358,76454.0,32246.6678002459,149581.0,36474.43358447931,37391.0,53069.7571608141,75561.0,38799.7759894193
1996,101937346090.00003,75285662420.00005,10976519849.999998,8980873078.535465,0.0957713142121652,0.12828515640976262,128220430.0,214101675000.0,25.235084041812776,22.7727835787883,0.08104568965460145,0.11001821345938893,156795766000.0,26.553876957554053,16587614320.0,73.66570234710989,641731735000.0,74.76491595818719,77.22721642121172,0.09276648278122522,0.13488942815892713,436647450000.0,73.44612304244595,58576536009.99999,68.77224112176343,862620690000.0,598202591000.0,498124409.00000006,0.12828515640976262,0.08980873078535465,70.00711017453312,893945040.3711727,3274.401639344262,11964521.0,10131101.0,1152.8224202205838,869.1001381538848,165.80733755934628,4.592180108825623,95728278019.99997,25166024850.0,3392161612.6853614,8912803940.000002,0.012013685739747988,17.89272675453252,13792968056.000002,0.646184628559543,1660424410.0,5698288409.999999,2981544100.0,0.40188625350374013,6510598359.999999,1697215880.0,0.09123114340420495,0.07921745766445698,0.04529584153760336,1.9681795161577011,29.47972750650765,95.7039449021586,54.87989645675986,26.068508394365157,46.501931275142255,49127.6281168671,31343.57596377315,376941.0,333896.0,11039.694063527182,8217.013411361622,43045.0,125634.08618887211,76879.0,34402.156505677754,152266.0,36834.50054509871,34288.0,59397.29701353243,73171.0,40747.46739531632
1997,109567601840.00005,79470785379.99998,13208680209.999998,9175647158.76855,0.09806727693256553,0.12932009077425666,132732090.0,222571966000.0,25.809565633246617,23.131711378129342,0.08223634012297312,0.11059816740256602,164847576000.0,27.04741936903186,17628797530.0,74.35596995349955,655849452000.0,74.19043436675337,76.86828862187066,0.0950683602425084,0.13626130804785153,453022990000.0,72.95258063096811,61841987850.00001,69.76915281711725,884192245000.0,622233799000.0,512007033.00000006,0.12932009077425666,0.09175647158768552,70.95299039640885,911590844.9083372,3341.7178082191776,12434638.0,10525156.0,1154.8238641929102,886.4938827532202,166.1127917084053,4.591825875790239,100982454499.99995,26694219949.999996,3453594311.1482534,9006781770.000002,0.011652623804287564,17.591129007011123,14359816705.000002,0.6272212212056923,2059794109.9999998,6210683880.0,3041193750.0000005,0.39345781422991627,7483563890.0,1974668459.9999998,0.09127799263972586,0.07962536883543829,0.04508942572395576,1.9495259082516976,28.955340723488725,94.45888041041918,56.97100148779204,26.386738845627733,44.686897149936016,50336.634045944775,32054.15764029827,396476.0,350824.0,9964.364703033729,7811.422992725697,45652.0,128212.96635415754,76607.0,37316.709700157946,149331.0,39099.59479277578,49976.0,49821.08472066592,65920.0,46135.603389502896
1998,113105119670.0,80985234480.00003,14426833129.999998,9100972447.175148,0.0971529635658665,0.12797528176527856,1284462930.0000002,229757672000.0,26.52084457478009,22.083370037023904,0.07578195395739742,0.10406295266986733,166961797000.0,27.157844653713948,16994691280.000002,72.82318251896093,661494739000.0,73.4791554252199,77.91662996297613,0.09650588637909145,0.13689054952190152,463617710000.0,72.84215534628605,63990543200.00001,70.49857474905613,898358697000.0,635795160000.0,525354635.99999994,0.12797528176527856,0.09100972447175147,71.11508036268584,911940695.7867768,3439.0520547945207,12752600.0,10801953.0,1157.779675830811,908.7845885444243,165.83081032256823,4.477004654038147,103763905210.00002,28295684809.999996,3567943962.0872016,7437894610.0,0.009378812120147604,14.157854714353375,14764701094.0,0.5037619497100806,2175456540.0,6865322520.000001,3033739030.0,0.38253927859739917,8194790930.000001,2369117420.0,0.09089181938090238,0.08151300726075478,0.045833567639882764,1.8987929609789524,28.02734601848995,91.65927104906245,1.6113462480522973,28.910041027733698,41.18722186904005,51275.48711992114,32431.75719357898,392583.0,345864.0,9746.789264945248,7635.636868827053,46719.0,127623.50200132708,85897.0,34348.87015844558,141645.0,40935.36369091743,51989.0,49170.50337571409,66325.0,43859.61691941724
1999,118892025940.00006,84317499590.00003,15401057110.000008,8971640145.003399,0.0958049690171453,0.12598512663196867,1391576770.0,235797141000.0,26.208102157160297,21.75406752250079,0.07446920968623458,0.10005916534298188,175315821000.0,27.39068372385629,17293061780.000004,74.42517577572201,701176204000.0,73.79189784283972,78.24593247749921,0.0951316295582272,0.13576527389575577,489655347000.0,72.60931627614372,67020734509.99999,70.07066448469865,945245293000.0,670779134000.0,542918051.0,0.12598512663196867,0.08971640145003398,71.21189925229514,930971011.9219601,3598.13698630137,13467905.0,11382948.0,1138.5376211816165,930.7321150263139,164.27160839007885,4.4173088051655345,110488889930.00008,30175481680.000004,3614245576.1220427,7924446980.000001,0.009491446646785948,14.596027826674712,15333716521.0,0.5167988445036938,2578058840.0,7287350069.999999,3490723489.9999995,0.41809877519071287,8671353830.0,2705408270.0,0.09115579773791055,0.08166435109112462,0.04552189532990418,1.8766316142011035,27.668291457742182,90.11229821670607,53.156342241106394,31.199375818804526,44.462176011939206,50814.066127962775,32498.356174548506,444895.0,390814.0,9545.767225974669,7607.416725091732,54081.0,122143.9481518463,99197.0,33271.6162787181,159981.0,40796.83168626275,55778.0,48108.05676073004,75808.0,46046.62550017745
2000,130248220289.99995,93638549960.00002,15258807500.000004,9631453552.739494,0.1023690380438117,0.1322804449506727,1491737200.0000002,246923769000.00003,26.962752431063986,22.423156405621516,0.0800984951290577,0.10520769904752818,187404061000.00003,28.19323237165532,19583006330.0,76.13368209190921,725929053000.0,73.037247568936,77.57684359437849,0.10230092051896826,0.14290991960042493,515703338000.0,71.80676762834467,74039610309.99998,71.58419849720781,980769080000.0,708761977000.0,565550662.0,0.13228044495067273,0.09631453552739495,72.810864495739,964656969.0697068,3755.3469945355187,14148621.0,11906152.0,1146.019176003089,934.9232328677539,164.60572735933184,4.348189139420149,123233414420.00002,33113613900.000004,3829064074.651075,12353076210.0,0.014284372726571485,21.842563434219795,16214590980.0,0.7618493877049989,3182751670.0,7604630630.000001,4499965760.0,0.5203496447355725,9429367440.0,2908414400.0,0.09816375537632663,0.08387938264975514,0.045588741903244384,1.8877857655844459,26.11604247158297,84.94630884148498,55.46962838491505,30.84421535703778,43.93681868548816,54243.175500599216,35484.61733700196,458101.0,403057.0,10045.590863150266,8175.638334032159,55044.0,132294.67298888162,102753.0,31738.790108318004,164998.0,41258.656104922484,54902.0,54448.47382609012,80398.0,55971.93829681667
2001,115226970150.00009,80943175410.0,14780820769.999998,8573543964.798834,0.0915108146995457,0.12165689576920462,1444633820.0,238905430000.0,27.01809259637697,22.969611715903966,0.07288855613999516,0.09997631719784461,173616628000.0,27.95073610134015,17282340870.0,72.90582228164587,706867146000.0,72.98190740362304,77.03038828409603,0.09049138945174194,0.13006764276899074,503471498000.0,72.04926389865985,63625095650.000015,69.57256049643415,953875338000.0,725027496000.0,529375954.99999994,0.1216568957692046,0.08573543964798831,70.4731442520423,926583356.066732,3839.4438356164383,13823680.0,11672432.0,1096.890118333179,955.2211468424985,163.02962557174624,4.133226344854456,125551815499.99998,35195080000.00001,4169487718.4271874,11751711420.000002,0.013922007404498163,22.19917869144624,15163057990.999998,0.7750225203237504,3680404670.0,7604913600.0,4775964480.0,0.5657985503372769,9665305510.0,2994516370.0,0.10447678424741812,0.09055477684291993,0.048859899658648065,1.8811769033281778,23.98376173601537,77.0339189430229,54.724730569578966,30.982118122409975,41.64118732950049,57286.22902338683,36620.11610713915,448714.0,394291.0,12582.213414335189,10183.089012937146,54423.0,141266.63873729858,99598.0,35924.38091126328,159879.0,41230.90343322137,49324.0,62432.32848106398,81184.0,58826.38863800303
2002,107124627240.00005,73351854089.99998,13488738960.000004,8163663126.782209,0.0874775110506714,0.11293264078202969,1732931660.0,219151161621.0,25.467540030112957,23.33613136604239,0.07480436466554992,0.09739486059390037,167340980938.0,27.059034991509307,16271296370.0,76.80524845911096,688235028551.0,74.53245996988706,76.66386863395759,0.08397119829083552,0.11869671776883715,483252911543.0,72.94096500849069,57078380419.99999,70.74433048297944,914900984202.0,655250060686.0,527481184.99999994,0.1129326407820297,0.0816366312678221,72.28789719474304,897848322.743381,3803.5123287671236,13516187.0,11432603.0,1053.4935216566626,966.8249486534132,163.43115823842112,4.041974901352895,115687396370.00003,35352144199.99999,4262426205.5366726,10177370400.0,0.012270907826975106,19.294281368538297,14239215442.0,0.7147423565192237,3984429160.0,7195601910.000001,3954430980.0,0.47678777676908407,9228450930.0,2770545520.0,0.10030337886321519,0.08803247103624008,0.04540820898087335,1.9492405904971633,23.46081672220041,74.71966790980862,51.87371172912477,30.021783081637953,42.58616405024339,58370.86184529041,36733.25457129728,425494.0,374292.0,17097.316695417565,13383.114359911513,51202.0,145441.25717745398,92143.0,39510.379735845374,161977.0,40592.468498614,49045.0,65643.51330410848,71117.0,55602.357310738225
2003,117768015270.00005,77342132069.99997,15755062010.0,8361784643.252669,0.0927760592927883,0.11271197743287992,3760744050.0000005,211833149982.0,24.999669645312288,22.586982489608538,0.07556034878323203,0.0984373182231594,161066096091.0,25.86615959709244,15833409310.0,76.75986114527744,696747235898.0,75.00033035468775,77.41301751039147,0.08632186772921414,0.11771478365417547,505420355686.0,74.13384040290758,61459855120.000015,73.33137355356489,922277148732.0,673997400845.0,517277406.00000006,0.11272844367951454,0.08363152354390095,74.18848412532355,836242002.4400855,3717.1643835616433,13006233.0,11226217.0,1025.2622356527058,1005.0242026398892,162.80908731412052,3.8677000070019494,119865995680.00014,32527756730.0,4046623650.557871,11319046040.0,0.014081487324016092,21.881964896800454,13334799522.999998,0.8488351115048106,7787312100.000001,7239749629.999999,3151504870.0,0.3920637456695068,8264379020.0,2729915400.0,0.0974409492560959,0.08335946193207977,0.042893225426501064,2.0842398353817266,24.711959558239105,76.61280876107574,56.084751719019415,33.032311240730095,38.699929611981446,56663.52894199156,34914.098992092346,385668.0,338027.0,20241.495379445532,15463.19347271076,47641.0,141392.99993702903,83399.0,39752.24918764014,143854.0,41796.52856368262,46826.0,59406.601460726946,63974.0,49262.86758765485
2004,134621788870.00002,85696753039.99995,22914426080.00001,8459621418.426659,0.09243602760516265,0.11080993775782978,3108442320.0000005,234855420492.0,25.99044065094501,25.282337086881533,0.08232722820897101,0.10372113075310248,185008824319.0,27.02251309675974,19169501150.0,79.373631593877,750548516851.0,74.00955934905498,74.71766291311849,0.08544278188797827,0.11350373081515347,557935711803.0,72.97748690324025,66428374539.99998,75.27750962400182,998867876952.0,751593486977.0,548973970.0,0.11086022643218206,0.08463303575808752,76.34210977357256,861877945.4695176,3594.6939890710382,13756696.0,11898863.0,1036.629033526655,1038.5509176003457,163.5194015413347,4.080673700916195,136111924380.0,31742608510.0,3691060263.3660555,16169718140.0,0.018802299778728326,29.454435043614183,14260590478.999998,1.1338743766474022,13354507889.999998,7811575639.999999,3196060850.0000005,0.3716409506489843,8342669319.999999,3034831550.0,0.09725395096338386,0.07845165118465552,0.04154104855099497,2.285683654896093,27.09248640356936,83.99881202196082,58.248402212715185,36.377224526022566,40.940898014529616,57138.251397345906,34541.16113643784,376249.0,330788.0,19228.06824735747,14516.56366010859,45461.0,146832.068366292,82981.0,40940.40418891072,147170.0,38178.44662635048,43905.0,60751.27844209088,56865.0,56202.98548215169
